"Date","ACC.NS.Open","ACC.NS.High","ACC.NS.Low","ACC.NS.Close","ACC.NS.Volume","ACC.NS.Adjusted"
2015-01-01,1400.15,1411,1397.95,1403.55,101000,1349.8
2015-01-02,1406.4,1431,1405.55,1425.9,153300,1371.3
2015-01-05,1425,1439.75,1423.75,1433.65,207900,1378.75
2015-01-06,1425,1428.95,1370.55,1383.55,368700,1330.57
2015-01-07,1382,1384.95,1336.2,1367.45,301800,1315.08
2015-01-08,1378,1396.65,1373.25,1391.4,94300,1338.12
2015-01-09,1397.8,1410.95,1378,1398.5,275700,1344.94
2015-01-12,1400,1409.25,1390.1,1404.6,158600,1350.81
2015-01-13,1411.4,1457.9,1405.25,1441.7,442200,1386.49
2015-01-14,1448,1484.95,1445,1478.35,518400,1421.74
2015-01-15,1496.5,1525,1472,1514.4,943800,1456.41
2015-01-16,1514.5,1528.9,1499.5,1518.35,348800,1460.21
2015-01-19,1521.9,1537,1510.6,1532.9,342600,1474.2
2015-01-20,1534.55,1550,1531.35,1544.3,410400,1485.16
2015-01-21,1548,1550,1531.85,1544.45,298700,1485.31
2015-01-22,1544,1563.2,1530,1558.8,401500,1499.11
2015-01-23,1569,1569,1532.05,1542.05,426900,1483
2015-01-26,1542.05,1542.05,1542.05,1542.05,0,1483
2015-01-27,1540.15,1545.05,1503.65,1528.7,594800,1470.16
2015-01-28,1527.45,1555,1515.55,1543.8,375700,1484.68
2015-01-29,1544.9,1590,1535.3,1582.95,631000,1522.33
2015-01-30,1595,1595,1538.1,1560.45,388800,1500.69
2015-02-02,1554.9,1556.7,1513.15,1524.95,246300,1466.55
2015-02-03,1529.7,1570.5,1499.4,1508.6,1341300,1450.83
2015-02-04,1511.95,1523.6,1490,1495.85,330100,1438.57
2015-02-05,1494,1530,1487,1504.55,557400,1446.93
2015-02-06,1503,1525,1481.45,1507.2,275000,1449.48
2015-02-09,1501.45,1515.5,1489.55,1508.85,263200,1451.07
2015-02-10,1502.9,1567.8,1492.8,1562.65,582000,1502.81
2015-02-11,1567,1574.8,1546.3,1552.6,489800,1493.14
2015-02-12,1567.45,1614.3,1560.65,1595.2,875300,1534.11
2015-02-13,1608,1637.55,1605,1625.05,542300,1562.82
2015-02-16,1632.4,1645,1605.1,1614.45,327800,1552.63
2015-02-17,1614.45,1614.45,1614.45,1614.45,0,1552.63
2015-02-18,1614.7,1658.7,1611.1,1653.3,471400,1589.99
2015-02-19,1662.4,1665,1602.7,1615.15,337600,1553.3
2015-02-20,1623.4,1625.15,1600,1620.4,288900,1558.35
2015-02-23,1628,1634.95,1609,1615.95,304400,1554.07
2015-02-24,1617.8,1634.5,1602.7,1618,226900,1556.04
2015-02-25,1626.2,1672,1614.1,1655.75,391700,1592.34
2015-02-26,1658.1,1664,1620,1639.9,466600,1577.1
2015-02-27,1648,1705,1641,1673.45,2276500,1609.37
2015-03-02,1680,1774.3,1678.2,1762.8,937300,1695.29
2015-03-03,1764,1773.9,1747.55,1758.3,466300,1690.97
2015-03-04,1765,1774.65,1715,1725.15,423100,1659.09
2015-03-05,1725.6,1729,1675,1698.65,606800,1633.6
2015-03-06,1698.65,1698.65,1698.65,1698.65,0,1633.6
2015-03-09,1686,1689.8,1647.3,1660.1,202400,1596.53
2015-03-10,1661,1677,1633,1650.15,274700,1586.96
2015-03-11,1650,1669,1630.2,1639.7,261000,1576.91
2015-03-12,1626.8,1659.9,1621.25,1648,291800,1603.47
2015-03-13,1658.9,1664.05,1615,1616,405200,1572.34
2015-03-16,1621,1621,1581.05,1587.55,209600,1544.65
2015-03-17,1591.05,1619,1574.95,1613,303900,1569.42
2015-03-18,1622,1628.95,1579,1583.35,334900,1540.57
2015-03-19,1592.4,1610,1563.1,1568.5,217300,1526.12
2015-03-20,1572.4,1588,1548.1,1569.75,273600,1527.33
2015-03-23,1570.5,1593.4,1549.1,1586.75,170300,1543.88
2015-03-24,1585,1604,1574.7,1583.05,211800,1540.28
2015-03-25,1589.9,1596.8,1571.5,1581.7,165400,1538.96
2015-03-26,1565.5,1590.7,1553.5,1579.55,691500,1536.87
2015-03-27,1585.25,1596.75,1538,1549.45,224800,1507.58
2015-03-30,1554,1594.7,1550.1,1582.65,238100,1539.89
2015-03-31,1590.2,1594.9,1555.05,1562.75,217200,1520.52
2015-04-01,1563.7,1591.3,1553.2,1585.9,176000,1543.05
2015-04-02,1585.9,1585.9,1585.9,1585.9,0,1543.05
2015-04-03,1585.9,1585.9,1585.9,1585.9,0,1543.05
2015-04-06,1588,1629.95,1582.05,1617.4,326400,1573.7
2015-04-07,1621.4,1659.8,1603.8,1650.3,393700,1605.71
2015-04-08,1656.3,1676.85,1630.25,1636.2,301000,1591.99
2015-04-09,1649,1649,1607.95,1622.45,246900,1578.61
2015-04-10,1624,1647.8,1620,1636.05,175800,1591.84
2015-04-13,1635,1649.45,1588.1,1596.2,385400,1553.07
2015-04-14,1596.2,1596.2,1596.2,1596.2,0,1553.07
2015-04-15,1614,1630.95,1608.25,1614.55,623600,1570.92
2015-04-16,1614.4,1617.95,1545.15,1564.2,501000,1521.93
2015-04-17,1563.95,1564,1505,1521.65,430100,1480.53
2015-04-20,1521.8,1552.2,1505.05,1529.75,371200,1488.42
2015-04-21,1532,1539,1490.15,1496.15,325300,1455.72
2015-04-22,1496.25,1564.9,1487.6,1557.3,333000,1515.22
2015-04-23,1560,1575,1511.4,1518.6,237300,1477.57
2015-04-24,1519.8,1545.75,1502.7,1531.6,401500,1490.22
2015-04-27,1539.95,1539.95,1481.25,1493.95,252200,1453.58
2015-04-28,1488.9,1523,1477.9,1514.5,369300,1473.58
2015-04-29,1514.5,1546.95,1479.55,1484.45,257300,1444.34
2015-04-30,1480.1,1486.2,1428.1,1433.7,626000,1394.96
2015-05-01,1433.7,1433.7,1433.7,1433.7,0,1394.96
2015-05-04,1441,1482,1434,1474.6,313900,1434.76
2015-05-05,1475,1478.65,1452.1,1471.4,1054700,1431.64
2015-05-06,1466,1469.95,1406.5,1413.3,270100,1375.11
2015-05-07,1414.2,1460.95,1386.55,1451.95,333400,1412.72
2015-05-08,1455.25,1473,1434.5,1448.5,301100,1409.36
2015-05-11,1455.1,1509.2,1446.5,1498.95,348800,1458.45
2015-05-12,1497.1,1500,1443,1449.95,367100,1410.77
2015-05-13,1459,1484,1447.65,1472.75,280500,1432.96
2015-05-14,1471.9,1479.6,1457,1474.85,145400,1435
2015-05-15,1478.95,1488.95,1464.35,1472.15,165400,1432.37
2015-05-18,1477.6,1516.9,1471,1509.85,167700,1469.05
2015-05-19,1510,1519,1485.1,1497.75,234100,1457.28
2015-05-20,1502.9,1516,1494.55,1502.9,197600,1462.29
2015-05-21,1507.7,1534.8,1498.55,1527.55,268500,1486.28
2015-05-22,1527.55,1541.85,1515,1519.2,209400,1478.15
2015-05-25,1520,1523.7,1488.3,1495.45,228000,1455.04
2015-05-26,1498.9,1502.35,1472.95,1482.1,276100,1442.05
2015-05-27,1480,1493.8,1453.1,1463.95,340100,1424.39
2015-05-28,1467.9,1490,1462,1470.7,249700,1430.96
2015-05-29,1474.6,1528,1473.9,1512.4,401100,1471.53
2015-06-01,1515,1532,1499,1516.35,227600,1475.38
2015-06-02,1515,1520.15,1470,1481.2,346500,1441.18
2015-06-03,1480,1483.1,1447.2,1460,416900,1420.55
2015-06-04,1461.6,1474.8,1436.1,1466.9,196900,1427.26
2015-06-05,1458,1461.7,1430,1434.5,539000,1395.74
2015-06-08,1434.5,1443,1420.1,1429.55,536400,1390.92
2015-06-09,1421,1446,1421,1441.1,204500,1402.16
2015-06-10,1436.5,1451,1430,1436.4,194300,1397.59
2015-06-11,1441.25,1452.15,1403,1407.7,231500,1369.66
2015-06-12,1407,1408.1,1376.1,1402.15,164300,1364.26
2015-06-15,1404,1413.4,1366.2,1370.25,248700,1333.23
2015-06-16,1366.25,1392.85,1366.25,1387.5,222700,1350.01
2015-06-17,1392.35,1427.8,1380.4,1410.6,322000,1372.49
2015-06-18,1413.3,1422.6,1404,1413.75,263100,1375.55
2015-06-19,1417.55,1432.95,1416.35,1425.15,185700,1386.64
2015-06-22,1425.1,1439,1422.15,1427.45,244000,1388.88
2015-06-23,1427.45,1453.65,1418.6,1447.15,196200,1408.05
2015-06-24,1452.5,1459,1405.55,1410.65,280400,1372.53
2015-06-25,1410,1419,1396.8,1407.75,397700,1369.71
2015-06-26,1407.9,1437.7,1403.1,1420.85,318500,1382.46
2015-06-29,1408,1415,1375.55,1411.75,230400,1373.6
2015-06-30,1404,1450,1402.55,1444.55,226100,1405.52
2015-07-01,1440.1,1471.9,1426.5,1465.75,303500,1426.15
2015-07-02,1467.55,1480,1465.4,1471.55,189400,1431.79
2015-07-03,1466,1487,1462.2,1480.4,190600,1440.4
2015-07-06,1468.7,1511,1464.45,1504.95,256600,1464.29
2015-07-07,1500.1,1515.55,1492.95,1500.1,253000,1459.57
2015-07-08,1493,1493,1458.2,1467.7,212300,1428.04
2015-07-09,1475,1498,1470.25,1485.05,147300,1444.92
2015-07-10,1490.25,1500,1465,1472.2,230000,1432.42
2015-07-13,1467.25,1486.5,1466,1475.05,293300,1435.19
2015-07-14,1476.8,1489.25,1463,1478.45,285800,1438.5
2015-07-15,1483.8,1510.5,1477.3,1496.95,284600,1456.5
2015-07-16,1500,1508.2,1486.65,1496.9,193500,1456.45
2015-07-17,1490,1509,1468.05,1486,488400,1445.85
2015-07-20,1436.1,1463.95,1431,1455.1,610600,1415.78
2015-07-21,1455.1,1472.9,1435,1439.6,318700,1400.7
2015-07-22,1432.5,1448,1422.5,1437.2,316500,1409.13
2015-07-23,1442,1448,1422.2,1424.4,254200,1396.58
2015-07-24,1428,1428.4,1403.8,1408.8,260700,1381.29
2015-07-27,1404,1406.25,1366,1369.25,322600,1342.51
2015-07-28,1371.7,1384.8,1357,1359.15,276900,1332.61
2015-07-29,1368.45,1374.8,1350,1369.95,331300,1343.2
2015-07-30,1379.7,1381.1,1360.15,1371.15,839300,1344.37
2015-07-31,1375,1393,1368.25,1387.4,314000,1360.31
2015-08-03,1384.8,1405.95,1376.1,1391.6,341200,1364.42
2015-08-04,1403.7,1403.7,1366,1377.2,209100,1350.31
2015-08-05,1380,1398,1376,1381.75,205200,1354.77
2015-08-06,1382,1417,1379.7,1405.35,271300,1377.91
2015-08-07,1407.9,1413.55,1392.25,1399.65,279100,1372.32
2015-08-10,1398,1408.95,1375.2,1385.75,219200,1358.69
2015-08-11,1384.9,1385.35,1361,1374.25,262500,1347.41
2015-08-12,1370,1373.65,1356,1366,399800,1339.32
2015-08-13,1370,1378.8,1355.05,1364.55,356400,1337.9
2015-08-14,1367,1385.9,1365,1372.05,255500,1345.26
2015-08-17,1378,1384.9,1362,1367.35,239200,1340.65
2015-08-18,1370.2,1393.5,1369,1387.35,144000,1360.26
2015-08-19,1393,1454.35,1390,1446.9,462100,1418.64
2015-08-20,1440.1,1442.45,1407.05,1411,328600,1383.45
2015-08-21,1405,1423,1380.4,1406.45,242700,1378.98
2015-08-24,1375,1384,1355,1367.15,459500,1340.45
2015-08-25,1376,1394.7,1320,1362.1,524500,1335.5
2015-08-26,1362.15,1382.7,1352.05,1360.4,345300,1333.83
2015-08-27,1370.4,1385,1324.25,1369.95,692600,1343.2
2015-08-28,1387.9,1387.9,1358,1362.8,211300,1336.19
2015-08-31,1362.8,1365,1326.85,1334.85,423900,1308.78
2015-09-01,1321,1343.9,1317.15,1332.2,358300,1306.18
2015-09-02,1349.8,1368.5,1338.15,1356.35,327600,1329.86
2015-09-03,1361.1,1398.6,1361.1,1394.55,301400,1367.32
2015-09-04,1394.55,1398.85,1333.2,1345.4,413000,1319.13
2015-09-07,1359.9,1359.9,1333.4,1344.95,116400,1318.69
2015-09-08,1348,1354.25,1330,1345.8,229100,1319.52
2015-09-09,1360,1385.6,1354,1380.05,349200,1353.1
2015-09-10,1367.25,1385,1346.1,1378.9,182300,1351.97
2015-09-11,1381,1394.7,1360,1366.55,128400,1339.86
2015-09-14,1367.5,1397.95,1365,1388.65,132600,1361.53
2015-09-15,1385,1392.6,1371.7,1379.5,87700,1352.56
2015-09-16,1385,1398.6,1373.25,1377.3,115700,1350.4
2015-09-17,1377.3,1377.3,1377.3,1377.3,0,1350.4
2015-09-18,1386,1408,1366.1,1375.2,305400,1348.34
2015-09-21,1364.45,1390,1358.15,1383.4,131000,1356.38
2015-09-22,1389,1397,1340.35,1353.55,209900,1327.12
2015-09-23,1335,1355.7,1328.3,1345.65,172500,1319.37
2015-09-24,1343.1,1371.5,1325,1343.05,371900,1316.82
2015-09-25,1343.05,1343.05,1343.05,1343.05,0,1316.82
2015-09-28,1343.5,1356.6,1333.5,1336.75,158600,1310.65
2015-09-29,1325,1344.95,1301.5,1327.45,288600,1301.53
2015-09-30,1340,1355,1324.65,1346.75,200700,1320.45
2015-10-01,1354.5,1375,1352,1363.1,145200,1336.48
2015-10-02,1363.1,1363.1,1363.1,1363.1,0,1336.48
2015-10-05,1372.2,1378,1362.1,1369.7,176600,1342.95
2015-10-06,1377,1380,1343,1350.4,286000,1324.03
2015-10-07,1353.5,1357,1329.2,1352.25,249000,1325.84
2015-10-08,1354,1361.5,1345,1356.2,206300,1329.72
2015-10-09,1363.2,1384.8,1342,1347.35,200400,1321.04
2015-10-12,1350,1359.95,1340.6,1344.35,209200,1318.1
2015-10-13,1344.35,1358,1343,1352.2,225600,1325.79
2015-10-14,1352,1378,1351.9,1376.25,233600,1349.37
2015-10-15,1383.8,1395.3,1368.5,1371.25,186900,1344.47
2015-10-16,1375,1399.9,1365.2,1393,153600,1365.8
2015-10-19,1398.5,1407,1383.5,1395.95,373600,1368.69
2015-10-20,1382.35,1388.8,1374.55,1379.3,298100,1352.36
2015-10-21,1360,1387,1357.15,1378.95,424400,1352.02
2015-10-22,1378.95,1378.95,1378.95,1378.95,0,1352.02
2015-10-23,1394,1403,1381,1400.2,248900,1372.86
2015-10-26,1405,1407.45,1385.25,1393.75,172600,1366.53
2015-10-27,1390,1398,1380.05,1385.8,179100,1358.74
2015-10-28,1385.9,1405,1371.3,1401.05,232300,1373.69
2015-10-29,1395,1397.5,1376,1385.4,174800,1358.35
2015-10-30,1398.7,1398.7,1372.15,1379.6,256700,1352.66
2015-11-02,1373.25,1405,1362.9,1398.4,171800,1371.09
2015-11-03,1405,1434,1404.95,1425.9,427300,1398.05
2015-11-04,1440,1443,1397.9,1405.7,226200,1378.25
2015-11-05,1410,1410,1381.25,1388.75,135700,1361.63
2015-11-06,1388,1392.65,1371.1,1384.05,74800,1357.02
2015-11-09,1359.15,1373.8,1343.5,1367.7,144000,1340.99
2015-11-10,1359,1372.6,1314.35,1322.1,242300,1296.28
2015-11-11,1322.1,1322.1,1322.1,1322.1,0,1296.28
2015-11-12,1322.1,1322.1,1322.1,1322.1,0,1296.28
2015-11-13,1321.5,1333.95,1314.2,1326.7,210900,1300.79
2015-11-16,1324.9,1331,1300.8,1324.45,279900,1298.59
2015-11-17,1330,1337.95,1315,1325.5,150100,1299.61
2015-11-18,1324,1340.55,1322,1334.3,191500,1308.24
2015-11-19,1336,1343.9,1328.4,1332.85,175300,1306.82
2015-11-20,1333,1349.45,1331.2,1339.75,299400,1313.59
2015-11-23,1340,1346.5,1335.65,1343.6,173200,1317.36
2015-11-24,1343.8,1359.3,1337,1341.5,288900,1315.3
2015-11-25,1341.5,1341.5,1341.5,1341.5,0,1315.3
2015-11-26,1347.9,1360,1328.25,1355.95,208400,1329.47
2015-11-27,1357.3,1365.4,1340.2,1353.2,118200,1326.77
2015-11-30,1356.9,1359.5,1340,1345,319100,1318.73
2015-12-01,1349,1364.25,1347.15,1357.9,146500,1331.38
2015-12-02,1362.5,1373.15,1355,1359.85,152600,1333.29
2015-12-03,1356,1363.3,1348.35,1350.1,159800,1323.73
2015-12-04,1340,1342.65,1332.3,1334.85,228400,1308.78
2015-12-07,1336.45,1355.95,1335.5,1353.45,150300,1327.02
2015-12-08,1348.7,1351.05,1332.6,1339.2,143400,1313.05
2015-12-09,1340,1340.05,1307.9,1313.75,231600,1288.09
2015-12-10,1316,1330,1305.4,1324.45,184500,1298.59
2015-12-11,1325.5,1343,1310.85,1319.4,287300,1293.63
2015-12-14,1315,1345,1312,1341.8,107700,1315.6
2015-12-15,1343.25,1344.95,1325.75,1337.65,107600,1311.53
2015-12-16,1349.5,1354.95,1338,1349.1,195000,1322.75
2015-12-17,1351.9,1364.8,1349.95,1356.2,166000,1329.72
2015-12-18,1354.9,1359,1338.25,1349,288600,1322.66
2015-12-21,1346.1,1357,1343.1,1353,113000,1326.58
2015-12-22,1349.5,1359.6,1341.9,1348.9,115800,1322.56
2015-12-23,1356.7,1360.1,1338.15,1342.05,112900,1315.84
2015-12-24,1347.75,1354.9,1340,1344.15,128600,1317.9
2015-12-25,1344.15,1344.15,1344.15,1344.15,0,1317.9
2015-12-28,1345,1353,1326.3,1330.85,167100,1304.86
2015-12-29,1334.8,1354,1328.2,1350.45,163600,1324.08
2015-12-30,1349,1359.5,1345,1349.8,83400,1323.44
2015-12-31,1345,1370,1344.3,1360.65,245300,1334.08
2016-01-01,1362,1380.4,1360,1373.65,161900,1346.82
2016-01-04,1368.4,1378.2,1332,1344,158200,1317.75
2016-01-05,1345,1355.5,1338.8,1341.3,126300,1315.11
2016-01-06,1348,1348,1317.75,1320.35,316200,1294.57
2016-01-07,1317.75,1318.5,1293,1300.5,301000,1275.1
2016-01-08,1302.9,1308.4,1275,1295.8,161700,1270.5
2016-01-11,1287.8,1303,1272.2,1297.55,142600,1272.21
2016-01-12,1295.25,1301,1275,1280.4,105900,1255.4
2016-01-13,1290,1294,1266.5,1281.95,166500,1256.92
2016-01-14,1270,1277.7,1259.1,1269.05,124000,1244.27
2016-01-15,1275,1275,1223.25,1229.6,141300,1205.59
2016-01-18,1232.5,1241,1212.3,1224.25,156600,1200.34
2016-01-19,1230,1246,1222.5,1235.3,176600,1211.18
2016-01-20,1218.9,1229,1205,1212.25,156300,1188.58
2016-01-21,1225,1236.95,1211.25,1228.45,209200,1204.46
2016-01-22,1239.95,1256.65,1230.05,1241,123200,1216.77
2016-01-25,1250,1263.5,1241.05,1245,124500,1220.69
2016-01-26,1245,1245,1245,1245,0,1220.69
2016-01-27,1249,1250,1228,1230.35,112800,1206.32
2016-01-28,1232.4,1234.9,1208,1214.95,134500,1191.22
2016-01-29,1220.1,1253.5,1216.05,1240.05,254400,1215.83
2016-02-01,1245,1278.9,1240.3,1271.85,210900,1247.01
2016-02-02,1266.8,1283,1253.05,1261.35,204600,1236.72
2016-02-03,1244,1279,1241.45,1248.95,191000,1224.56
2016-02-04,1255.25,1277.4,1253.2,1270.4,205900,1245.59
2016-02-05,1267.05,1286,1259.05,1271.4,231300,1246.57
2016-02-08,1271,1309.75,1270.15,1280.6,218500,1255.59
2016-02-09,1271,1292.85,1270,1279.1,148600,1254.12
2016-02-10,1270,1278.25,1250.05,1265.85,256800,1241.13
2016-02-11,1250,1264.7,1225.5,1234,231500,1209.9
2016-02-12,1234.2,1242.65,1199.1,1221.05,212000,1197.2
2016-02-15,1230,1268.7,1228.35,1256.55,130800,1232.01
2016-02-16,1265,1273.1,1225,1227.8,144700,1203.82
2016-02-17,1222.8,1233.5,1204,1226.05,165000,1202.11
2016-02-18,1235,1265.65,1231.6,1262.35,194700,1237.7
2016-02-19,1259.8,1280.9,1248.4,1278,160500,1253.04
2016-02-22,1274.5,1287.3,1267.65,1281.5,122500,1262.4
2016-02-23,1271.1,1282,1240.65,1243.9,137800,1225.36
2016-02-24,1239,1245.25,1225.8,1233.15,122500,1214.77
