"Date","JUSTDIAL.NS.Open","JUSTDIAL.NS.High","JUSTDIAL.NS.Low","JUSTDIAL.NS.Close","JUSTDIAL.NS.Volume","JUSTDIAL.NS.Adjusted"
2015-01-01,1345,1363,1331.6,1351.55,48900,1348.23
2015-01-02,1349.65,1422,1348,1412.55,351000,1409.08
2015-01-05,1412,1427.9,1391.2,1405.3,149200,1401.85
2015-01-06,1397.25,1399.4,1349.4,1358.95,91700,1355.61
2015-01-07,1365,1437.9,1360.85,1422.5,325100,1419
2015-01-08,1431.5,1444,1420,1428.45,119300,1424.94
2015-01-09,1428,1473.9,1428,1467.35,191700,1463.74
2015-01-12,1473.9,1489.4,1455.2,1471.7,123700,1468.08
2015-01-13,1480.5,1588,1480.5,1546.4,937900,1542.6
2015-01-14,1553.95,1553.95,1486,1504.25,267200,1500.55
2015-01-15,1518.65,1546.8,1463.2,1509.75,238100,1506.04
2015-01-16,1523,1581.7,1519.05,1544.4,333000,1540.61
2015-01-19,1548,1586.8,1511.7,1524.4,231800,1520.65
2015-01-20,1534,1560,1524,1540.8,186500,1537.01
2015-01-21,1542.1,1559,1524,1538.15,135500,1534.37
2015-01-22,1536,1575,1536,1560.8,307000,1556.96
2015-01-23,1580,1582,1550,1568.85,149700,1565
2015-01-26,1568.85,1568.85,1568.85,1568.85,0,1565
2015-01-27,1570,1619.5,1570,1597.6,496600,1593.67
2015-01-28,1600,1631,1539.6,1565.35,369900,1561.5
2015-01-29,1584.4,1594.25,1524.85,1552.95,251200,1549.13
2015-01-30,1549,1567.7,1531.1,1555.35,177400,1551.53
2015-02-02,1555.35,1579,1536.5,1565.95,146700,1562.1
2015-02-03,1571,1581.9,1532.1,1569.4,403000,1565.54
2015-02-04,1564.8,1565,1511.25,1525.9,81300,1522.15
2015-02-05,1525.7,1547,1480,1494.6,88400,1490.93
2015-02-06,1500,1529.65,1461.5,1480.5,120700,1476.86
2015-02-09,1478.75,1488.35,1446.95,1452.7,96000,1449.13
2015-02-10,1450,1470,1372,1379.2,169300,1375.81
2015-02-11,1390.5,1430.25,1366.5,1403.15,251700,1399.7
2015-02-12,1408,1442,1391.8,1404.45,207900,1401
2015-02-13,1409,1460.45,1409,1451.6,356700,1448.03
2015-02-16,1456,1470,1385.85,1397.15,241200,1393.72
2015-02-17,1397.15,1397.15,1397.15,1397.15,0,1393.72
2015-02-18,1409,1420.5,1390,1414.9,166800,1411.42
2015-02-19,1420,1448,1400.75,1440.7,178500,1437.16
2015-02-20,1445.05,1448.4,1417.7,1422.85,114700,1419.35
2015-02-23,1434.45,1435,1400.1,1411.8,111800,1408.33
2015-02-24,1417,1432.45,1352.7,1366.15,238100,1362.79
2015-02-25,1362.2,1370,1335.55,1345.1,224600,1341.79
2015-02-26,1350,1352,1280,1300.8,413600,1297.6
2015-02-27,1305,1385.95,1305,1373.8,594800,1370.42
2015-03-02,1357,1364,1328.45,1338.45,210300,1335.16
2015-03-03,1344,1388.95,1341,1348.85,279700,1345.54
2015-03-04,1359,1363.65,1307.8,1312.55,192500,1309.32
2015-03-05,1315,1336.5,1302,1314.35,248000,1311.12
2015-03-06,1314.35,1314.35,1314.35,1314.35,0,1311.12
2015-03-09,1310,1319,1272.55,1278.05,434200,1274.91
2015-03-10,1285,1290,1237,1249.15,449000,1246.08
2015-03-11,1250,1253,1127,1139.35,1298700,1136.55
2015-03-12,1160,1198,1152,1188.75,1165200,1185.83
2015-03-13,1202.8,1203,1132,1141.25,784400,1138.45
2015-03-16,1150.05,1173.15,1142.65,1160.05,377000,1157.2
2015-03-17,1171,1188.55,1160,1178.35,874000,1175.45
2015-03-18,1184.8,1279.9,1184.6,1268.6,1184000,1265.48
2015-03-19,1268,1429.9,1268,1403.1,1931700,1399.65
2015-03-20,1394.9,1403.8,1316,1382.4,1196300,1379
2015-03-23,1389.65,1408.55,1338.25,1359.95,379200,1356.61
2015-03-24,1343,1376,1340.5,1354.5,238200,1351.17
2015-03-25,1359,1407.5,1355,1368.95,393100,1365.59
2015-03-26,1352.9,1377,1333.05,1346.15,252200,1342.84
2015-03-27,1353.8,1375,1290,1307.35,357300,1304.14
2015-03-30,1320,1339,1252,1321.35,2754300,1318.1
2015-03-31,1344,1354.35,1312.25,1323.75,396300,1320.5
2015-04-01,1329.4,1344,1310.3,1328.85,246300,1325.58
2015-04-02,1328.85,1328.85,1328.85,1328.85,0,1325.58
2015-04-03,1328.85,1328.85,1328.85,1328.85,0,1325.58
2015-04-06,1330.15,1341,1315,1323.55,181400,1320.3
2015-04-07,1328.85,1336.7,1313.95,1322.5,498100,1319.25
2015-04-08,1328.8,1379,1321.15,1353.95,885000,1350.62
2015-04-09,1361,1385,1342.7,1356,455200,1352.67
2015-04-10,1358.45,1358.8,1318,1324.55,348000,1321.3
2015-04-13,1328.8,1335,1292.1,1302.5,195300,1299.3
2015-04-14,1302.5,1302.5,1302.5,1302.5,0,1299.3
2015-04-15,1305.8,1305.8,1230,1253.4,310200,1250.32
2015-04-16,1250.35,1254.95,1212,1221.25,310600,1218.25
2015-04-17,1225,1234,1159.5,1168.8,332400,1165.93
2015-04-20,1170,1178.45,1090.9,1116.05,643400,1113.31
2015-04-21,1125,1130.55,1047,1075.5,653500,1072.86
2015-04-22,1074,1219,1073.65,1197,1257000,1194.06
2015-04-23,1210,1215.95,1146,1153.75,639900,1150.92
2015-04-24,1160,1160.7,1110.1,1121.25,406000,1118.49
2015-04-27,1129.4,1170,1095,1122.45,513600,1119.69
2015-04-28,1125.5,1127,1037,1079.65,904300,1077
2015-04-29,1084.65,1098.25,1045.5,1056,681600,1053.41
2015-04-30,1052,1089,1048.25,1070.25,1475700,1067.62
2015-05-01,1070.25,1070.25,1070.25,1070.25,0,1067.62
2015-05-04,1074.4,1113.25,1073,1101.75,348500,1099.04
2015-05-05,1108,1127,1101.55,1114.65,296300,1111.91
2015-05-06,1115,1134,1070,1084.2,410400,1081.54
2015-05-07,1075,1125,1054,1112.75,437500,1110.02
2015-05-08,1121,1151,1116,1121.4,248200,1118.64
2015-05-11,1129.7,1141.75,1075.45,1084.2,1781200,1081.54
2015-05-12,1104.9,1112,1075,1083.45,774500,1080.79
2015-05-13,1087,1105,1075,1078.35,877900,1075.7
2015-05-14,1081.95,1100,1075,1089.6,312600,1086.92
2015-05-15,1095,1105,1065,1070.45,847000,1067.82
2015-05-18,1076,1089.9,1069.5,1077.15,275600,1074.5
2015-05-19,1080,1171.5,1080,1138.3,1477000,1135.5
2015-05-20,1149.3,1165.85,1132,1139.75,523300,1136.95
2015-05-21,1145,1168,1114.1,1146.6,595300,1143.78
2015-05-22,1149.3,1181,1134.55,1155.05,568000,1152.21
2015-05-25,1151.2,1188,1144.05,1150.3,553500,1147.47
2015-05-26,1157.9,1167.65,1130.4,1136.55,240800,1133.76
2015-05-27,1131.35,1150,1117.5,1138.2,333400,1135.4
2015-05-28,1144,1148.7,1118.2,1124.7,926600,1121.94
2015-05-29,1129.5,1160,1125.1,1138.1,367400,1135.3
2015-06-01,1202,1215.5,1128.5,1135.55,572200,1132.76
2015-06-02,1143.8,1151.1,1085.35,1091.9,443100,1089.22
2015-06-03,1095,1104.45,1052.75,1093.2,647600,1090.51
2015-06-04,1102.8,1123.15,1093,1109.65,553300,1106.92
2015-06-05,1200.1,1210,1103.55,1112,1756300,1109.27
2015-06-08,1114,1116.95,1058.5,1084.9,624600,1082.23
2015-06-09,1084.9,1098.05,1060.1,1070.15,344000,1067.52
2015-06-10,1072,1105.65,1071,1099.05,556600,1096.35
2015-06-11,1106,1115,1083.25,1102.55,406700,1099.84
2015-06-12,1105.9,1115,1092.8,1110.55,253100,1107.82
2015-06-15,1110.1,1121,1102,1109.4,181300,1106.67
2015-06-16,1109.5,1122.85,1098.55,1116.1,193600,1113.36
2015-06-17,1126,1166,1120,1157.4,462000,1154.56
2015-06-18,1157,1175.15,1154.45,1170.6,296600,1167.72
2015-06-19,1175,1198,1172.35,1177.6,387700,1174.71
2015-06-22,1175,1195,1170.1,1179.9,261600,1177
2015-06-23,1183.85,1233,1173.1,1229.25,676400,1226.23
2015-06-24,1234.65,1267,1232.5,1245.35,754300,1242.29
2015-06-25,1227,1262,1227,1251.95,390500,1248.87
2015-06-26,1235,1247.5,1218,1232.25,334500,1229.22
2015-06-29,1199.5,1269.9,1151,1253.25,495400,1250.17
2015-06-30,1257.8,1274.9,1253.3,1268.9,329800,1265.78
2015-07-01,1271,1284.5,1257.45,1268.5,217900,1265.38
2015-07-02,1266.25,1290,1266.25,1281.75,197700,1278.6
2015-07-03,1283,1283,1242.5,1250.8,210500,1247.73
2015-07-06,1217,1262.5,1211,1250.55,266900,1247.48
2015-07-07,1255.4,1271.6,1240.1,1244.6,191200,1241.54
2015-07-08,1225.05,1253.8,1185.55,1196.3,245000,1193.36
2015-07-09,1209.4,1209.8,1130.1,1179.6,357800,1176.7
2015-07-10,1195.1,1206.15,1175.3,1180.85,219600,1177.95
2015-07-13,1182.9,1192,1163.9,1171.8,234300,1168.92
2015-07-14,1170,1176,1146.6,1151.85,232700,1149.02
2015-07-15,1157.4,1157.4,1125,1126.8,372900,1124.03
2015-07-16,1119,1139,1108.05,1112.6,397200,1109.87
2015-07-17,1114,1118.95,1091,1095.5,302900,1092.81
2015-07-20,1099,1120,1090,1099.3,1226300,1096.6
2015-07-21,1099,1115,1090,1091.5,473800,1088.82
2015-07-22,1085,1114.9,1084,1106.75,695000,1104.03
2015-07-23,1107,1129.5,1095.25,1099.75,857400,1097.05
2015-07-24,1099,1115,1080,1087.45,253400,1084.78
2015-07-27,1092.7,1110,1068,1083.85,406300,1081.19
2015-07-28,1094.4,1107,1050,1054.85,663700,1052.26
2015-07-29,1057,1065,1021,1030.05,457000,1027.52
2015-07-30,1038,1040.85,1007.4,1028.2,692700,1025.67
2015-07-31,1032,1092.4,1020,1079.8,815500,1077.15
2015-08-03,1086,1106.8,1076.5,1085.4,568300,1082.73
2015-08-04,1093.8,1093.8,1061,1072.55,400100,1069.91
2015-08-05,1074.9,1094.8,1066,1085.6,628200,1082.93
2015-08-06,1089.7,1102,1080,1084.95,506800,1082.28
2015-08-07,1084.95,1084.95,1046.45,1048.85,679300,1046.27
2015-08-10,1051,1066.8,1035.1,1043.5,316100,1040.94
2015-08-11,1044.9,1053.5,1016,1026.55,263500,1024.03
2015-08-12,1027.7,1036.85,1005,1007.25,352800,1004.78
2015-08-13,1018.8,1027,1008.1,1017.2,313100,1014.7
2015-08-14,1017.2,1030,1005,1018.9,302700,1016.4
2015-08-17,1033,1033,1005.95,1015.75,227800,1013.25
2015-08-18,1015.75,1027.35,1006.5,1014,252000,1011.51
2015-08-19,1014,1017.65,995.1,1005.25,616400,1002.78
2015-08-20,1007,1022.9,952.25,964.05,477300,961.68
2015-08-21,949,949,841.2,917.05,1483000,914.8
2015-08-24,850,900,821.15,832.75,612400,830.7
2015-08-25,840.1,867,747.6,785.2,970500,783.27
2015-08-26,800,814,764,769.6,879600,767.71
2015-08-27,800,826,773.75,818.2,1262800,816.19
2015-08-28,837,870,815,824.55,759100,822.52
2015-08-31,827,855,815.05,844.55,665100,842.47
2015-09-01,830,859,821.5,850.1,521500,848.01
2015-09-02,858.7,866.8,845.6,856.45,286800,854.35
2015-09-03,862.05,874.8,841.05,850.1,488800,848.01
2015-09-04,840,844.4,796,820.85,670300,818.83
2015-09-07,814,824,793.35,802.65,610200,800.68
2015-09-08,802.65,835,786,826.05,457100,824.02
2015-09-09,838,849.7,803.95,813.95,569800,811.95
2015-09-10,797.65,808.5,792.5,802.05,510500,802.05
2015-09-11,810.5,823.7,783,816.65,1031100,816.65
2015-09-14,830.25,937.5,830,926.9,3153900,926.9
2015-09-15,935,945,910,913.9,1313300,913.9
2015-09-16,929.5,931.35,877.9,901.75,1033800,901.75
2015-09-17,901.75,901.75,901.75,901.75,0,901.75
2015-09-18,910.55,950,899.05,938.05,833000,938.05
2015-09-21,930,965,920.45,959.95,774400,959.95
2015-09-22,968,1000.8,957,968.05,938100,968.05
2015-09-23,961,990,954,977.15,479700,977.15
2015-09-24,981.9,990,972.75,989.55,481100,989.55
2015-09-25,989.55,989.55,989.55,989.55,0,989.55
2015-09-28,993,1000,977.7,986.85,346600,986.85
2015-09-29,974.9,974.9,941,962.45,507100,962.45
2015-09-30,962.55,991,955.5,983.55,426000,983.55
2015-10-01,991,1000,979.35,987.2,271800,987.2
2015-10-02,987.2,987.2,987.2,987.2,0,987.2
2015-10-05,994.9,994.9,972.7,987.4,183500,987.4
2015-10-06,989,999.75,975.1,990.85,312600,990.85
2015-10-07,998.75,1021.9,992.9,999.3,534400,999.3
2015-10-08,1003.9,1028.9,1000.55,1022.75,507100,1022.75
2015-10-09,1033,1044,1020,1035.5,387700,1035.5
2015-10-12,1044.8,1044.8,1013.95,1020.4,259700,1020.4
2015-10-13,1027,1075,1001.05,1069.15,708900,1069.15
2015-10-14,1069,1077.9,1040,1067.05,493200,1067.05
2015-10-15,1067,1070.05,1045.2,1052.5,269800,1052.5
2015-10-16,1053,1062.5,1040,1042.05,182900,1042.05
2015-10-19,1048,1058,1038.5,1043.65,125500,1043.65
2015-10-20,1049.7,1049.7,1034,1039.15,193300,1039.15
2015-10-21,1042,1046.05,1015.1,1019.85,253800,1019.85
2015-10-22,1019.85,1019.85,1019.85,1019.85,0,1019.85
2015-10-23,1025.4,1063,1022,1052.9,234400,1052.9
2015-10-26,1055,1058.15,991.1,996.2,351500,996.2
2015-10-27,992.05,1017.95,976.25,991.2,647700,991.2
2015-10-28,997.9,1007.3,959.55,963.45,693800,963.45
2015-10-29,908,940,850,855.8,3254900,855.8
2015-10-30,860,869.05,789.2,802.05,2846300,802.05
2015-11-02,806.1,821.1,790.1,800.3,1232800,800.3
2015-11-03,805.8,813.4,790.2,793.2,709600,793.2
2015-11-04,798.25,813.95,782,791.5,1848700,791.5
2015-11-05,793,804.8,768,775.85,1231200,775.85
2015-11-06,780.9,784.95,755.05,766,910100,766
2015-11-09,750,783.2,740.5,769.15,763000,769.15
2015-11-10,765,781.5,763.95,774.2,475500,774.2
2015-11-11,774.2,774.2,774.2,774.2,0,774.2
2015-11-12,774.2,774.2,774.2,774.2,0,774.2
2015-11-13,775,801.8,773.1,789.5,473000,789.5
2015-11-16,789.5,800,781.3,790.4,391400,790.4
2015-11-17,798.7,815,794,805.15,654500,805.15
2015-11-18,809.2,810.9,793.1,800.85,453100,800.85
2015-11-19,807,808.8,795.35,804.9,285000,804.9
2015-11-20,811.9,879.9,805.15,866.95,1710300,866.95
2015-11-23,872,924.5,868,899.85,2654700,899.85
2015-11-24,904.4,934.8,900,930.6,1734200,930.6
2015-11-25,930.6,930.6,930.6,930.6,0,930.6
2015-11-26,940,970,938.05,962.65,2290500,962.65
2015-11-27,966.4,966.8,931,940.8,902000,940.8
2015-11-30,943.9,956,937,939,598500,939
2015-12-01,936,941.85,910,927.4,782800,927.4
2015-12-02,927.4,933,910.5,914.25,565400,914.25
2015-12-03,888,894.8,862.1,870.2,1209100,870.2
2015-12-04,869.9,870,820.2,824.45,1152900,824.45
2015-12-07,825,867,798,851.45,2133200,851.45
2015-12-08,845,877,843,869.55,1420400,869.55
2015-12-09,872,883.2,850.65,873.2,1336500,873.2
2015-12-10,877.8,891,865,884.95,1010500,884.95
2015-12-11,890,907,886,892.65,1982700,892.65
2015-12-14,874.7,900.9,852.95,895.55,828800,895.55
2015-12-15,897.7,938,884,924.25,865000,924.25
2015-12-16,925,932,886.3,899.7,733600,899.7
2015-12-17,900,908.1,881.5,903.8,775300,903.8
2015-12-18,898,898,863.7,874.25,494800,874.25
2015-12-21,875,877.9,862,867.55,386100,867.55
2015-12-22,866.5,873.7,854.1,860.9,343900,860.9
2015-12-23,868.5,870,846.65,853.55,481100,853.55
2015-12-24,857,875,850,866.45,507800,866.45
2015-12-25,866.45,866.45,866.45,866.45,0,866.45
2015-12-28,866,869.8,853,857.2,348500,857.2
2015-12-29,857,876.95,851,862.6,572100,862.6
2015-12-30,867.9,872,860.55,863.75,330000,863.75
2015-12-31,860,864.65,836.1,842.75,716700,842.75
2016-01-01,844.25,856.65,842.2,847.4,297900,847.4
2016-01-04,842,849.75,831,837.85,307700,837.85
2016-01-05,839,863.5,832.05,851.95,534200,851.95
2016-01-06,850.1,858,842,845.85,234400,845.85
2016-01-07,833.4,860,829.2,842.8,443500,842.8
2016-01-08,842.9,855,831.75,835.15,313000,835.15
2016-01-11,825.1,843,824.1,832.05,241800,832.05
2016-01-12,839.8,841.5,823.2,826.7,266300,826.7
2016-01-13,833,837.2,795.6,819.4,406100,819.4
2016-01-14,802.85,817.8,800.4,806.45,333100,806.45
2016-01-15,810,813.05,782.45,795.45,617500,795.45
2016-01-18,795,804.9,767,800.25,325200,800.25
2016-01-19,811,815,796.2,803.4,215600,803.4
2016-01-20,787,802.8,780.4,790.35,279600,790.35
2016-01-21,791.9,806.9,782.25,791.4,233900,791.4
2016-01-22,800,807,783,796.05,334700,796.05
2016-01-25,802.9,837.3,787.1,792.1,722200,792.1
2016-01-26,792.1,792.1,792.1,792.1,0,792.1
2016-01-27,794,798,767,784.95,826500,784.95
2016-01-28,726,755,713.3,731.1,2667600,731.1
2016-01-29,726.4,726.4,602,608.2,5852100,608.2
2016-02-01,611.3,623.85,536,567.45,8059800,567.45
2016-02-02,569.35,601.95,569.35,591,6191800,591
2016-02-03,590.05,591.55,535.1,568.5,4633700,568.5
2016-02-04,578,590,552,580.1,2918200,580.1
2016-02-05,583.7,591,560,568.65,1850100,568.65
2016-02-08,566.4,566.4,536.5,541.4,2165600,541.4
2016-02-09,530,530,493.5,501.75,4903900,501.75
2016-02-10,492,521.7,483,516.05,4207800,516.05
2016-02-11,517.95,524.7,460,474.9,4017700,474.9
2016-02-12,471,471,375.7,415.35,7629400,415.35
