"Date","SINTEX.NS.Open","SINTEX.NS.High","SINTEX.NS.Low","SINTEX.NS.Close","SINTEX.NS.Volume","SINTEX.NS.Adjusted"
2015-01-01,94.3845,96.5955,93.7458,95.5145,3759300,93.95045
2015-01-02,96.1041,96.9394,94.5319,95.1215,3341500,93.56388
2015-01-05,95.1215,96.8903,95.0723,96.4481,4932300,94.86876
2015-01-06,95.9076,95.9076,91.8787,92.2718,5146700,90.76085
2015-01-07,92.3209,93.2544,90.1099,91.5348,4753200,90.03591
2015-01-08,92.9105,95.1706,92.9105,94.7284,4614500,93.17722
2015-01-09,95.318,95.4654,92.1735,93.844,3828500,92.30731
2015-01-12,93.844,93.9423,92.4683,93.107,1679700,91.58237
2015-01-13,93.6966,95.6128,91.7804,94.3845,3267300,92.83895
2015-01-14,94.7776,95.1706,92.4192,92.8614,2111100,91.34079
2015-01-15,94.5319,95.318,92.37,93.9914,2851700,92.45229
2015-01-16,93.5984,96.5955,93.5984,96.055,6521700,94.4821
2015-01-19,96.6937,104.358,96.1041,103.376,19455500,101.68322
2015-01-20,104.26,109.272,104.26,105.292,17228400,103.56784
2015-01-21,106.029,107.306,101.607,103.572,7824600,101.87601
2015-01-22,103.572,104.801,101.263,102.049,5240000,100.37795
2015-01-23,103.376,106.422,102.344,104.555,6741000,102.84291
2015-01-26,104.555,104.555,104.555,104.555,0,102.84291
2015-01-27,105.538,113.153,105.145,111.286,17941800,109.46369
2015-01-28,111.728,117.919,105.145,112.416,27771500,110.57519
2015-01-29,112.957,114.48,111.09,112.171,7304200,110.3342
2015-01-30,112.957,113.202,107.749,109.026,5360600,107.2407
2015-02-02,107.208,109.567,105.587,107.552,5931300,105.79084
2015-02-03,107.896,113.202,107.306,112.465,9191000,110.62338
2015-02-04,113.595,115.905,109.616,110.402,7265100,108.59417
2015-02-05,110.648,111.335,104.997,106.078,6099700,104.34098
2015-02-06,106.127,107.306,103.474,104.113,3989800,102.40815
2015-02-09,102.884,106.766,100.624,104.211,4827500,102.50454
2015-02-10,103.179,108.093,101.804,104.211,5060500,102.50454
2015-02-11,105.292,106.619,104.653,105.98,4256800,104.24458
2015-02-12,106.471,106.963,104.801,105.489,3773200,103.76162
2015-02-13,106.127,106.422,103.179,103.867,3831600,102.16617
2015-02-16,104.358,106.717,103.671,105.39,3635800,103.66424
2015-02-17,105.39,105.39,105.39,105.39,0,103.66424
2015-02-18,105.882,107.896,104.604,106.078,5043900,104.34098
2015-02-19,106.471,106.619,103.867,104.702,2605600,102.98751
2015-02-20,104.457,107.503,103.671,104.408,7370100,102.69832
2015-02-23,104.948,105.636,102.393,103.032,3803400,101.34485
2015-02-24,103.13,106.471,102.049,105.587,4207800,103.85801
2015-02-25,106.422,106.717,103.769,104.309,3479000,102.60094
2015-02-26,104.801,110.058,103.671,106.422,11234800,104.67934
2015-02-27,107.454,116.543,106.815,115.119,16715700,113.23393
2015-03-02,112.515,116.543,111.041,115.954,7166900,114.05525
2015-03-03,116.249,117.33,113.252,116.101,5440500,114.19984
2015-03-04,116.789,117.33,110.549,111.778,4971300,109.94763
2015-03-05,112.023,113.35,110.353,111.532,3085300,109.70566
2015-03-06,111.532,111.532,111.532,111.532,0,109.70566
2015-03-09,110.451,112.171,108.289,111.09,4823000,109.2709
2015-03-10,111.09,115.659,110.205,114.185,7434200,112.31522
2015-03-11,115.561,121.359,114.283,119.934,16008500,117.97008
2015-03-12,120.867,131.136,120.818,130.30099,22566700,128.16732
2015-03-13,131.283,134.231,120.081,122.98,15826600,120.96621
2015-03-16,123.52,128.483,121.653,127.107,6794600,125.02562
2015-03-17,128.532,130.448,126.419,128.38499,5819300,126.28269
2015-03-18,126.763,128.237,125.142,126.419,3389700,124.34889
2015-03-19,127.549,129.515,122.439,122.98,4354100,120.96621
2015-03-20,123.078,123.127,119.148,121.113,4607800,119.12977
2015-03-23,121.408,123.668,115.708,116.937,4165300,115.02215
2015-03-24,116.937,118.656,113.989,115.217,2867700,113.33032
2015-03-25,115.856,115.856,111.041,111.483,3255300,109.65747
2015-03-26,110.402,114.48,108.584,112.613,4638200,110.76896
2015-03-27,113.202,117.772,112.76,113.792,5022400,111.92866
2015-03-30,115.856,116.593,113.792,114.627,3538200,112.74998
2015-03-31,115.413,119.491,115.217,118.607,6923300,116.66481
2015-04-01,119.393,120.867,116.642,118.312,4734000,116.37464
2015-04-02,118.312,118.312,118.312,118.312,0,116.37464
2015-04-03,118.312,118.312,118.312,118.312,0,116.37464
2015-04-06,118.607,122.538,118.214,120.081,4032900,118.11467
2015-04-07,120.572,122.046,118.067,121.015,3646700,119.03338
2015-04-08,121.015,122.636,118.902,119.491,3925800,117.53433
2015-04-09,120.228,121.359,118.165,119.098,3068200,117.14777
2015-04-10,119.197,120.622,118.263,118.754,2602900,116.8094
2015-04-13,119.197,123.619,118.656,119.197,5428800,117.24515
2015-04-14,119.197,119.197,119.197,119.197,0,117.24515
2015-04-15,120.228,121.85,117.526,118.116,3910700,116.18185
2015-04-16,118.804,119.786,116.937,118.656,3272100,116.71301
2015-04-17,118.853,119.148,114.775,115.266,2666400,113.37852
2015-04-20,115.217,115.806,111.041,112.908,2454400,111.05913
2015-04-21,112.957,112.957,110.156,110.648,3090900,108.83614
2015-04-22,111.09,116.052,110.304,114.676,4007600,112.79818
2015-04-23,115.856,116.838,113.202,113.792,3542300,111.92866
2015-04-24,113.939,114.283,110.697,111.876,2386300,110.04403
2015-04-27,112.318,112.515,97.529,100.968,4753500,99.31465
2015-04-28,98.7082,104.85,97.8238,103.032,5210300,101.34485
2015-04-29,103.621,106.717,102.295,105.439,3504600,103.71244
2015-04-30,105.636,110.058,104.309,108.928,4795000,107.1443
2015-05-01,108.928,108.928,108.928,108.928,0,107.1443
2015-05-04,110.058,113.792,110.009,113.35,3767400,111.49389
2015-05-05,113.841,115.463,113.252,114.824,2888200,112.94375
2015-05-06,114.578,116.347,106.373,107.7,5494200,105.93641
2015-05-07,107.061,108.78,100.821,102.835,16262600,101.15108
2015-05-08,105.587,109.321,105.587,106.569,7129400,104.82393
2015-05-11,108.191,110.549,108.093,109.37,4154000,107.57907
2015-05-12,110.058,110.549,105.145,105.538,4303300,103.80982
2015-05-13,106.422,108.682,105.931,107.896,4081700,106.12921
2015-05-14,107.994,109.026,106.324,108.289,3876900,106.51577
2015-05-15,109.075,110.353,106.619,107.65,3140900,105.88723
2015-05-18,108.191,110.549,107.601,109.567,3332800,107.77284
2015-05-19,109.272,112.465,108.584,110.942,4151400,109.12533
2015-05-20,111.286,111.925,110.205,111.041,2676400,109.2227
2015-05-21,111.041,111.925,109.665,111.581,2513400,109.75386
2015-05-22,110.697,111.335,108.584,109.321,2194000,107.53087
2015-05-25,109.223,110.942,107.7,109.665,1689400,107.86924
2015-05-26,109.911,110.451,108.24,109.174,1656900,107.38628
2015-05-27,108.093,108.486,106.815,107.257,1894900,105.50067
2015-05-28,107.552,108.535,106.864,107.65,1259400,105.88723
2015-05-29,107.65,109.812,107.11,108.633,2690100,106.85414
2015-06-01,108.633,109.567,106.52,106.963,1550500,105.21148
2015-06-02,107.306,107.503,104.653,104.997,2537500,103.27768
2015-06-03,104.408,104.752,98.3643,100.428,4521800,98.78349
2015-06-04,101.214,101.509,98.3643,99.7891,2447500,98.15505
2015-06-05,99.0521,101.214,98.6591,99.1504,2153900,97.52681
2015-06-08,100.231,101.067,96.055,96.4972,2534400,94.91706
2015-06-09,96.1041,96.6937,93.3527,93.8932,2310400,92.3557
2015-06-10,95.318,96.7429,94.3354,95.7111,1859100,94.14383
2015-06-11,96.4972,97.5781,93.3527,95.2197,3200600,93.66048
2015-06-12,93.7458,96.6937,93.7458,96.0059,2025600,94.4338
2015-06-15,96.3007,102.197,95.6128,100.526,3946400,98.87989
2015-06-16,101.067,101.607,97.6273,100.231,3549500,98.58972
2015-06-17,100.919,101.411,99.3469,100.084,2456700,98.44512
2015-06-18,100.33,102.983,99.1504,99.7891,2807300,98.15505
2015-06-19,100.821,103.032,99.5435,101.804,3219300,100.13696
2015-06-22,103.179,105.095,102.393,103.13,3031000,101.44124
2015-06-23,103.278,104.604,102.344,103.965,3199300,102.26257
2015-06-24,104.162,104.506,101.017,101.902,2064100,100.23335
2015-06-25,101.214,104.85,100.575,104.162,2201300,102.45635
2015-06-26,103.818,103.867,101.312,101.804,2329400,100.13696
2015-06-29,99.0521,99.3961,96.3007,98.3151,2146400,96.70519
2015-06-30,98.266,100.084,97.6764,98.7082,1684500,97.09185
2015-07-01,98.5608,101.754,98.5608,100.33,2336500,98.6871
2015-07-02,101.017,101.804,98.8065,99.3961,1922600,97.76849
2015-07-03,99.8382,101.705,99.5435,99.8382,2174900,98.20335
2015-07-06,98.4134,102.688,97.529,102.197,2531500,100.52352
2015-07-07,103.081,111.434,102.884,108.338,11927500,106.56396
2015-07-08,106.864,110.746,103.965,104.948,8028200,103.22947
2015-07-09,105.341,107.994,103.867,104.555,4071700,102.84291
2015-07-10,105.587,107.306,104.653,106.078,7094100,104.34098
2015-07-13,102.393,102.393,98.8556,99.9365,9372300,98.30004
2015-07-14,100.674,101.116,97.8729,98.7573,6789800,97.14015
2015-07-15,100.33,104.555,100.33,103.621,9106200,101.92421
2015-07-16,104.358,104.604,101.214,101.804,4397500,100.13696
2015-07-17,102,102.983,100.231,101.509,3044700,99.84679
2015-07-20,101.705,105.145,100.379,104.358,4472000,102.64914
2015-07-21,104.457,106.569,102.983,104.211,5238400,102.50454
2015-07-22,103.916,109.272,103.425,108.338,6199300,106.56396
2015-07-23,109.468,116.789,109.223,114.578,13913300,112.70179
2015-07-24,113.989,117.084,112.76,113.546,5336900,111.68668
2015-07-27,112.22,112.809,106.815,107.356,3638200,105.59805
2015-07-28,108.191,108.387,103.916,104.309,3518800,102.60094
2015-07-29,104.653,110.5,104.653,109.96,4740600,108.1594
2015-07-30,110.648,112.515,109.174,110.205,3425300,108.40039
2015-07-31,110.697,113.989,110.058,113.35,3966400,111.49389
2015-08-03,113.743,116.838,112.22,115.708,4933700,113.81328
2015-08-04,116.052,116.249,112.023,113.645,3038000,111.78406
2015-08-05,113.989,119.59,113.792,114.971,4181000,113.08835
2015-08-06,115.168,115.364,111.434,112.367,2868400,110.52699
2015-08-07,112.121,114.431,110.697,111.335,2451600,109.51189
2015-08-10,111.778,112.416,108.584,109.174,2388800,107.38628
2015-08-11,109.616,109.763,105.145,106.127,3014900,104.38917
2015-08-12,105.439,106.029,100.821,101.263,4179600,99.60482
2015-08-13,102.049,103.621,99.5435,100.28,3870500,98.63791
2015-08-14,101.607,103.032,100.821,102.246,3452200,100.57172
2015-08-17,102.688,103.818,99.5435,101.558,3281100,99.89499
2015-08-18,102.098,102.639,99.8874,100.968,4108900,99.31465
2015-08-19,100.968,101.853,100.035,100.821,3505400,99.17005
2015-08-20,100.133,101.116,97.8238,98.3643,3247400,97.43005
2015-08-21,97.0868,97.0868,93.7949,95.5145,4623700,94.60731
2015-08-24,91.0926,91.1908,82.2486,83.4278,7466200,82.63541
2015-08-25,85.5897,89.4221,78.6128,88.7342,5341200,87.89141
2015-08-26,88.4394,91.2891,83.5261,89.1764,3013400,88.32941
2015-08-27,91.8787,93.3036,90.9452,92.714,2472100,91.8334
2015-08-28,94.1388,95.5637,92.7631,93.5001,2926000,92.61204
2015-08-31,93.3527,93.9423,91.5839,92.8122,1350300,91.93068
2015-09-01,91.3382,92.6648,87.1619,88.8816,2340600,88.03741
2015-09-02,89.4221,90.7978,88.4394,88.7833,1815500,87.94004
2015-09-03,89.7169,92.6157,89.6677,91.5839,1872600,90.71404
2015-09-04,91.1908,91.8787,88.1937,89.3238,3123000,88.47541
2015-09-07,89.4712,90.503,88.6359,89.2255,1843200,88.37804
2015-09-08,89.5203,96.4972,89.1273,93.5001,3370800,92.61204
2015-09-09,94.8267,96.792,94.1388,95.7602,3134200,94.85068
2015-09-10,93.1562,97.1851,91.3874,96.055,2453300,95.14268
2015-09-11,96.9394,98.6591,93.8932,94.2862,2590400,93.39068
2015-09-14,94.7776,95.8093,93.6475,94.581,1120400,93.68268
2015-09-15,94.8267,95.318,93.2544,93.7458,770200,92.8554
2015-09-16,94.581,95.0232,92.6157,93.0579,798200,92.17404
2015-09-17,93.0579,93.0579,93.0579,93.0579,0,92.17404
2015-09-18,93.7949,99.6909,93.7949,98.0695,3158100,97.13805
2015-09-21,96.3989,100.231,95.4163,98.5117,1758400,97.57605
2015-09-22,98.9539,99.1504,94.6302,95.1706,2310700,94.26668
2015-09-23,94.3354,96.2024,93.6475,95.4654,2034100,94.55868
2015-09-24,94.5319,101.312,94.5319,100.182,3508300,99.23048
2015-09-25,100.182,100.182,100.182,100.182,0,99.23048
2015-09-28,100.624,101.705,99.0521,100.084,1803200,99.13341
2015-09-29,98.5117,104.604,97.7747,102.786,3782100,101.80975
2015-09-30,103.671,104.457,101.607,103.474,6029000,102.49121
2015-10-01,104.358,104.358,100.575,101.165,1542700,100.20414
2015-10-02,101.165,101.165,101.165,101.165,0,100.20414
2015-10-05,102,103.572,101.902,102.934,1389200,101.95634
2015-10-06,103.523,103.572,101.902,102.934,1117800,101.95634
2015-10-07,103.179,104.408,100.182,100.674,2322800,99.71781
2015-10-08,101.165,102.983,101.165,101.951,1197200,100.98267
2015-10-09,102.786,103.179,98.7573,101.558,1267200,100.59341
2015-10-12,102.197,103.081,101.411,102.148,823200,101.17781
2015-10-13,102.59,103.769,101.705,102.197,1713800,101.22634
2015-10-14,102.639,104.457,101.46,102.246,2418800,101.27488
2015-10-15,102.786,106.864,99.6909,102.737,18655800,101.76121
2015-10-16,103.867,103.916,101.017,101.656,4028600,100.69048
2015-10-19,102.098,103.081,101.46,102.098,1604600,101.12828
2015-10-20,102.393,102.934,100.28,100.821,1930700,99.86341
2015-10-21,101.411,102.59,100.231,100.575,1756400,99.61974
2015-10-22,100.575,100.575,100.575,100.575,0,99.61974
2015-10-23,101.804,101.902,98.5608,98.9539,2195600,98.01404
2015-10-26,99.7891,99.8382,96.9394,97.4307,2108600,96.50531
2015-10-27,97.4307,98.3643,96.3989,97.529,1868100,96.60267
2015-10-28,97.7747,101.214,97.1359,100.526,2593900,99.57121
2015-10-29,100.379,101.705,99.74,100.723,1520300,99.76634
2015-10-30,100.87,101.411,97.6764,99.2978,1876700,98.35467
2015-11-02,99.5435,100.231,97.7747,99.8874,1144100,98.93867
2015-11-03,100.526,101.607,99.74,100.379,1018600,99.4256
2015-11-04,100.821,101.263,98.7573,99.8382,1300600,98.88995
2015-11-05,99.74,100.133,97.5781,98.1186,1261500,97.18667
2015-11-06,98.2169,98.4134,96.3007,97.2833,991600,96.35931
2015-11-09,94.3354,99.9365,94.0406,98.5117,1221600,97.57605
2015-11-10,98.7082,100.674,98.266,98.6591,1320300,97.72205
2015-11-11,98.6591,98.6591,98.6591,98.6591,0,97.72205
2015-11-12,98.6591,98.6591,98.6591,98.6591,0,97.72205
2015-11-13,100.035,100.182,97.8729,98.1677,1449800,97.23531
2015-11-16,98.266,100.33,97.2833,99.6909,990900,98.74404
2015-11-17,100.428,100.575,98.4625,98.8556,861700,97.91667
2015-11-18,99.003,99.1995,96.5463,96.8903,1290800,95.97004
2015-11-19,97.7255,99.4943,97.2833,98.7082,995800,97.77067
2015-11-20,99.2487,102.884,98.3151,101.263,2861600,100.30121
2015-11-23,101.411,101.656,99.6417,99.9856,1266200,99.03595
2015-11-24,99.74,104.948,99.4452,104.358,5486200,103.36682
2015-11-25,104.358,104.358,104.358,104.358,0,103.36682
2015-11-26,105.095,105.341,101.361,102,3099300,101.03121
2015-11-27,102.197,103.572,100.035,101.067,1958500,100.10707
2015-11-30,101.067,103.179,100.624,103.081,1969600,102.10194
2015-12-01,103.179,103.965,101.705,102,1529600,101.03121
2015-12-02,102.442,104.948,102,103.179,4211900,102.19901
2015-12-03,102.541,103.179,100.624,101.263,1748500,100.30121
2015-12-04,99.3961,100.624,98.4134,99.1504,1695900,98.20867
2015-12-07,99.9856,101.116,99.1504,100.084,1199500,99.13341
2015-12-08,99.5435,101.804,98.5608,99.2487,1532000,98.30604
2015-12-09,99.74,100.182,95.8093,96.2515,1580000,95.33731
2015-12-10,96.7429,97.8238,95.5145,97.2833,1198900,96.35931
2015-12-11,97.5781,97.7255,94.8267,95.7602,1034000,94.85068
2015-12-14,95.1215,97.2833,94.4828,96.2024,787400,95.28868
2015-12-15,96.5955,98.1677,95.9567,97.6764,921000,96.74867
2015-12-16,98.0203,98.6099,96.5955,96.9394,802900,96.01868
2015-12-17,97.6764,99.1995,97.4799,98.9047,966300,97.96531
2015-12-18,98.9047,99.0521,97.3816,97.7255,1085000,96.79731
2015-12-21,97.7747,99.6909,97.2833,98.5608,1027400,97.62467
2015-12-22,100.526,101.558,98.3643,98.8065,2251800,97.86805
2015-12-23,99.1995,102.098,99.1995,101.263,2563900,100.30121
2015-12-24,102.098,102.098,100.428,101.214,1150100,100.25267
2015-12-25,101.214,101.214,101.214,101.214,0,100.25267
2015-12-28,101.411,102.148,100.33,100.919,970100,99.96048
2015-12-29,101.46,103.179,100.87,101.165,2489900,100.20414
2015-12-30,101.705,101.804,99.74,99.9856,1171700,99.03595
2015-12-31,100.231,100.624,99.4943,100.035,779800,99.08488
2016-01-01,100.231,101.165,99.6417,99.9856,1073700,99.03595
2016-01-04,99.74,101.017,97.8238,98.4134,1448100,97.47867
2016-01-05,98.9539,99.74,98.1186,98.5608,1144000,97.62467
2016-01-06,99.1013,103.572,98.8065,100.919,5005100,99.96048
2016-01-07,99.74,100.723,97.5781,98.1186,2545100,97.18667
2016-01-08,99.2487,100.624,98.3151,98.9539,2170400,98.01404
2016-01-11,94.8267,95.0232,91.4856,91.8787,5331500,91.00604
2016-01-12,92.8122,93.2544,89.6186,89.9134,2526200,89.05941
2016-01-13,90.896,91.8296,82.1504,84.607,6471400,83.80341
2016-01-14,82.5434,83.0348,79.5955,79.792,3790800,79.03414
2016-01-15,80.9712,81.1677,72.8151,73.7978,5335400,73.09687
2016-01-18,73.7978,74.0434,66.87,67.4596,4877500,66.81888
2016-01-19,67.8035,73.7978,67.8035,72.9625,4579700,72.26951
2016-01-20,70.6041,72.5694,69.7689,71.7833,2568200,71.10151
2016-01-21,73.6012,74.7804,71.7833,72.5203,2086300,71.83151
2016-01-22,73.6995,75.6648,73.6995,75.2226,1723300,74.50814
