"Date","ULTRACEMCO.NS.Open","ULTRACEMCO.NS.High","ULTRACEMCO.NS.Low","ULTRACEMCO.NS.Close","ULTRACEMCO.NS.Volume","ULTRACEMCO.NS.Adjusted"
2015-01-01,2678.9,2678.9,2651.2,2662.5,54000,2647.33
2015-01-02,2669.5,2752.5,2667.25,2742.1,228600,2726.48
2015-01-05,2748,2775.4,2726,2747.7,181600,2732.04
2015-01-06,2737.7,2739,2651,2670.6,292400,2655.38
2015-01-07,2675,2692.95,2612.25,2660.05,120000,2644.89
2015-01-08,2675,2732.3,2660.3,2727.45,249800,2711.91
2015-01-09,2760,2760,2711,2729.35,334800,2713.8
2015-01-12,2727.7,2735,2690,2700.3,148000,2684.91
2015-01-13,2735,2851.25,2715.05,2818.5,517200,2802.44
2015-01-14,2829,2918.8,2829,2908.85,537800,2892.28
2015-01-15,2920,3102.3,2898.4,3083.05,699200,3065.48
2015-01-16,3100.2,3139.95,3045.75,3070.1,369200,3052.61
2015-01-19,3099,3139.95,3066.5,3088.5,147100,3070.9
2015-01-20,3100,3127.95,3085.05,3096.45,303300,3078.81
2015-01-21,3109,3115.9,3041.3,3054.8,295800,3037.39
2015-01-22,3062,3144.25,3059,3122.45,368700,3104.66
2015-01-23,3168,3185.75,3130,3147.9,414300,3129.96
2015-01-26,3147.9,3147.9,3147.9,3147.9,0,3129.96
2015-01-27,3199.9,3199.9,3105.45,3121.45,426900,3103.66
2015-01-28,3130,3189.95,3125,3139.75,241000,3121.86
2015-01-29,3135,3175,3113.1,3162.75,353400,3144.73
2015-01-30,3162.35,3185,3097,3140.35,170800,3122.46
2015-02-02,3149.8,3169.15,3039,3087.05,258400,3069.46
2015-02-03,3070,3188,3060,3107.55,407700,3089.84
2015-02-04,3125.4,3126.4,3068.1,3096.9,220000,3079.25
2015-02-05,3109.9,3109.9,3041,3064.1,130300,3046.64
2015-02-06,3030,3050,2995,3008.35,129800,2991.21
2015-02-09,2961.05,2990,2941,2962.75,127600,2945.87
2015-02-10,2951.1,3025.95,2941.1,2966.2,187800,2949.3
2015-02-11,2975,3019.95,2975,3008,170700,2990.86
2015-02-12,3007,3095,3000.5,3035.1,187000,3017.81
2015-02-13,3071.1,3144.75,3068,3112.5,193700,3094.76
2015-02-16,3123,3150,3070.15,3078.8,177600,3061.26
2015-02-17,3078.8,3078.8,3078.8,3078.8,0,3061.26
2015-02-18,3082.3,3127.5,3082,3110,202100,3092.28
2015-02-19,3112.6,3128.9,3008.1,3062.3,165700,3044.85
2015-02-20,3119,3125.1,3005.65,3014.1,201200,2996.93
2015-02-23,3028,3043,2970,2978.1,2e+05,2961.13
2015-02-24,2981,3008.2,2965,2988.6,118100,2971.57
2015-02-25,2995.2,3060,2992.2,3042.85,284700,3025.51
2015-02-26,3044,3065,2952.45,2977.45,218700,2960.48
2015-02-27,3001,3136.7,2994,3125.8,251600,3107.99
2015-03-02,3159,3379,3145,3369.8,446700,3350.6
2015-03-03,3375,3375,3310,3360.85,247500,3341.7
2015-03-04,3369,3398,3292.5,3310.3,278800,3291.44
2015-03-05,3315,3330,3152.35,3189.55,490500,3171.38
2015-03-06,3189.55,3189.55,3189.55,3189.55,0,3171.38
2015-03-09,3179,3190,3053.15,3066.15,318400,3048.68
2015-03-10,3070,3108.9,3006,3017.2,539100,3000.01
2015-03-11,3017.2,3044.65,2975,2987.1,309600,2970.08
2015-03-12,2998,3029.95,2994.15,3009.35,483500,2992.2
2015-03-13,3040,3040,2934.55,2946.9,254000,2930.11
2015-03-16,2970,2975,2890,2913.4,214400,2896.8
2015-03-17,2947,2964.8,2891.1,2928.4,290800,2911.71
2015-03-18,2950,2966.4,2909.45,2935.7,292200,2918.97
2015-03-19,2954,2993.3,2874,2893,354400,2876.52
2015-03-20,2888,2890,2835.6,2855.05,284700,2838.78
2015-03-23,2860,2878.55,2825,2829,213000,2812.88
2015-03-24,2837,2846,2790.65,2801.5,389900,2785.54
2015-03-25,2819,2829.7,2750,2766,389200,2750.24
2015-03-26,2750,2826.55,2734.7,2795.8,433200,2779.87
2015-03-27,2810.1,2815.6,2763.9,2801.85,267100,2785.88
2015-03-30,2823,2957.6,2810.05,2944.05,340500,2927.27
2015-03-31,2967.5,2967.5,2855,2877.9,465200,2861.5
2015-04-01,2888.95,2909.3,2857.35,2883.7,371300,2867.27
2015-04-02,2883.7,2883.7,2883.7,2883.7,0,2867.27
2015-04-03,2883.7,2883.7,2883.7,2883.7,0,2867.27
2015-04-06,2899,2909.7,2870,2892.55,137100,2876.07
2015-04-07,2900,2945,2878.4,2931.85,283900,2915.14
2015-04-08,2964.7,3022.5,2938.8,2986.45,270700,2969.43
2015-04-09,3000,3003,2945,2963.95,192700,2947.06
2015-04-10,2988.9,3003.95,2945,2969.05,118800,2952.13
2015-04-13,2970,3028.9,2952.35,3001.45,238100,2984.35
2015-04-14,3001.45,3001.45,3001.45,3001.45,0,2984.35
2015-04-15,3024.9,3029.9,2965,2986.5,585700,2969.48
2015-04-16,2986.5,3003.85,2860.6,2895.05,301200,2878.55
2015-04-17,2882,2885,2797.25,2809.15,505500,2793.14
2015-04-20,2809.15,2825.8,2748.5,2778.15,496700,2762.32
2015-04-21,2789.7,2817,2732.75,2751.2,127300,2735.52
2015-04-22,2763,2809,2752,2792.8,361800,2776.89
2015-04-23,2805,2850,2711.5,2728.3,220200,2712.75
2015-04-24,2728.5,2744.4,2690,2706.95,361300,2691.53
2015-04-27,2707,2769,2638.05,2655.3,585500,2640.17
2015-04-28,2655.35,2716.95,2625.6,2688.9,461900,2673.58
2015-04-29,2705,2796,2663.25,2679.25,292300,2663.98
2015-04-30,2679.25,2688.7,2635,2672.1,465500,2656.87
2015-05-01,2672.1,2672.1,2672.1,2672.1,0,2656.87
2015-05-04,2672,2748,2612,2709.05,304100,2693.61
2015-05-05,2710,2738,2689.05,2709.2,150900,2693.76
2015-05-06,2704,2708.3,2596.65,2605.7,481800,2590.85
2015-05-07,2592,2664.35,2531,2619.15,342400,2604.23
2015-05-08,2632,2710,2626.05,2698,391200,2682.63
2015-05-11,2698.1,2859.9,2698,2823.8,500200,2807.71
2015-05-12,2830.85,2830.85,2730.1,2748.85,321000,2733.19
2015-05-13,2780,2824.9,2755.7,2794.4,211700,2778.48
2015-05-14,2793.9,2803.65,2731.25,2796.05,169300,2780.12
2015-05-15,2803.2,2837.25,2790.8,2805.4,165400,2789.41
2015-05-18,2815,2905,2780.35,2900.1,269900,2883.58
2015-05-19,2900.1,2985,2894.9,2971.4,639600,2954.47
2015-05-20,2969.2,3050.95,2969.2,3032.25,631700,3014.97
2015-05-21,3030,3109.85,3006.4,3064.6,706500,3047.14
2015-05-22,3068.3,3087,2968.45,2975.4,303800,2958.45
2015-05-25,2994,2998.95,2924.8,2935,160900,2918.28
2015-05-26,2929,2952,2880,2906.85,271600,2890.29
2015-05-27,2910,2913,2860,2885.15,335300,2868.71
2015-05-28,2890,2948.35,2852.35,2917.45,335200,2900.83
2015-05-29,2939.7,2996.9,2903.4,2975.3,415600,2958.35
2015-06-01,2995,3024,2970,3005.4,199800,2988.27
2015-06-02,2995.1,3014.95,2893.5,2910.25,190000,2893.67
2015-06-03,2896,2914,2820.2,2831.1,135500,2814.97
2015-06-04,2854.7,2879.75,2814.2,2868.05,113500,2851.71
2015-06-05,2860.85,2904.4,2781.1,2806.25,218100,2790.26
2015-06-08,2832,2833.3,2780.75,2809.85,110100,2793.84
2015-06-09,2811,2846,2788.8,2810.35,147300,2794.34
2015-06-10,2835,2844.95,2800,2804.55,172600,2788.57
2015-06-11,2806,2827.95,2690.4,2701.65,264000,2686.26
2015-06-12,2705,2767.6,2680,2748.5,178500,2732.84
2015-06-15,2750,2751.4,2704,2710.8,137700,2695.35
2015-06-16,2714,2751,2691,2744.75,94800,2729.11
2015-06-17,2747.6,2822.6,2736.1,2796.55,259400,2780.62
2015-06-18,2772.05,2828,2763.1,2798.7,233400,2782.75
2015-06-19,2801,2817,2792.2,2802.75,252600,2786.78
2015-06-22,2807.3,2844.5,2793.7,2804,130700,2788.02
2015-06-23,2821,2908.85,2801.95,2895.9,332400,2879.4
2015-06-24,2927,2969.9,2830,2852.35,483900,2836.1
2015-06-25,2854.7,2875.5,2815.3,2862,316500,2845.69
2015-06-26,2879.8,2921,2865,2914.7,229000,2898.09
2015-06-29,2863.9,2916,2825,2904.9,175300,2888.35
2015-06-30,2910,3000,2906.5,2993.45,411400,2976.39
2015-07-01,2992,3066,2980.1,3057.95,348200,3040.53
2015-07-02,3058,3074,3030.1,3057.7,317600,3040.28
2015-07-03,3037,3078.95,3033.1,3064.65,232200,3047.19
2015-07-06,3047,3109.85,3036.75,3102.25,262000,3084.57
2015-07-07,3114,3184.2,3103,3161.5,259500,3143.49
2015-07-08,3149,3149,3080.25,3115.25,332100,3097.5
2015-07-09,3115.3,3140,3082,3103.05,204600,3085.37
2015-07-10,3120,3143.95,3093.05,3129.8,264700,3111.97
2015-07-13,3155,3169.95,3121,3163.8,225900,3145.77
2015-07-14,3150.1,3169,3125,3138,102600,3120.12
2015-07-15,3130,3227.75,3129.6,3200.05,292500,3181.82
2015-07-16,3210,3215.5,3159.05,3175.05,274200,3156.96
2015-07-17,3185,3248,3170,3223.6,234100,3205.23
2015-07-20,3190,3369,3117,3353.85,1148300,3334.74
2015-07-21,3360,3367.9,3209,3223.9,340000,3205.53
2015-07-22,3202,3268,3191.6,3258.15,346500,3239.58
2015-07-23,3269,3269,3211,3239.15,231800,3220.69
2015-07-24,3229.8,3258,3196.6,3204.4,96900,3186.14
2015-07-27,3196,3240.15,3116.05,3134.1,195300,3116.24
2015-07-28,3120,3183.9,3120,3127.7,121400,3109.88
2015-07-29,3135,3154.9,3081.6,3136.5,245100,3118.63
2015-07-30,3147,3193.8,3130,3160.35,273900,3142.34
2015-07-31,3170,3208.85,3136.25,3149.15,408900,3131.21
2015-08-03,3149.15,3179.65,3140.15,3163.5,105200,3145.47
2015-08-04,3190,3190,3105,3145.05,187400,3127.13
2015-08-05,3164.95,3230,3148.9,3216.4,199800,3198.07
2015-08-06,3220,3256,3201,3225.65,223900,3207.27
2015-08-07,3231.6,3239.5,3190,3202.45,127500,3184.2
2015-08-10,3219,3228.85,3155.6,3174.55,87900,3156.46
2015-08-11,3181.9,3202.15,3147.8,3155.4,181300,3137.42
2015-08-12,3147.1,3147.1,3055,3063.8,220800,3046.34
2015-08-13,3065,3107,3030.45,3069.85,110600,3052.36
2015-08-14,3070,3133.4,3067.5,3103.9,235000,3095.29
2015-08-17,3120,3130,3063.45,3081.8,95600,3073.25
2015-08-18,3081.1,3145,3065.55,3128.45,289800,3119.77
2015-08-19,3145,3182.25,3110,3161.3,237700,3152.53
2015-08-20,3162,3169.95,3021,3045.05,294500,3036.6
2015-08-21,3030,3030,2925.8,2972.9,475300,2964.65
2015-08-24,2911.05,2911.05,2800,2842.15,495100,2834.26
2015-08-25,2846.2,2940.65,2791,2892.2,760700,2884.18
2015-08-26,2881,2926,2850,2905.1,569200,2897.04
2015-08-27,2925,2942,2851.9,2901.05,653700,2893
2015-08-28,2912.1,2968.9,2912.1,2946.75,403700,2938.57
2015-08-31,2948,2955.35,2878.4,2889.8,303100,2881.78
2015-09-01,2839,2905,2777.85,2834.1,263700,2826.24
2015-09-02,2870,2910,2843.35,2886.1,240000,2878.09
2015-09-03,2883,3022,2883,3003.9,233200,2995.57
2015-09-04,2995,2995,2891.1,2915.1,382200,2907.01
2015-09-07,2912,2945.2,2850,2854.35,186600,2846.43
2015-09-08,2862.5,2895,2809,2883.9,289800,2875.9
2015-09-09,2910,2999,2910,2985,211200,2976.72
2015-09-10,2931,2978.95,2902.1,2964.4,156000,2956.18
2015-09-11,2993.85,2997.85,2923.7,2942.2,120200,2934.04
2015-09-14,2948,2963.55,2920.1,2949,126700,2940.82
2015-09-15,2964,2964,2902.9,2920,146600,2911.9
2015-09-16,2926.55,2969,2911.15,2933.9,299600,2925.76
2015-09-17,2933.9,2933.9,2933.9,2933.9,0,2925.76
2015-09-18,2945,3018.95,2921,2937.95,486500,2929.8
2015-09-21,2924.9,2926.9,2873.05,2906.2,203100,2898.14
2015-09-22,2925,2936.25,2790,2808.5,304000,2800.71
2015-09-23,2789.55,2805,2757.5,2783,485900,2775.28
2015-09-24,2783,2828,2726.95,2811.1,287700,2803.3
2015-09-25,2811.1,2811.1,2811.1,2811.1,0,2803.3
2015-09-28,2790,2790.05,2711.25,2717.8,404500,2710.26
2015-09-29,2700,2762,2622.05,2710.45,386400,2702.93
2015-09-30,2724.7,2741.55,2652.3,2673.4,755700,2665.98
2015-10-01,2670,2779.5,2669,2773.45,677100,2765.76
2015-10-02,2773.45,2773.45,2773.45,2773.45,0,2765.76
2015-10-05,2791.8,2830,2781.2,2816.45,556300,2808.64
2015-10-06,2831.9,2832.75,2753.15,2767.8,374800,2760.12
2015-10-07,2756,2790,2735.1,2753.5,445200,2745.86
2015-10-08,2754.9,2828.2,2748.2,2817.65,238100,2809.83
2015-10-09,2830,2879.05,2801.8,2818.75,256000,2810.93
2015-10-12,2840,2870,2812.15,2844.75,95800,2836.86
2015-10-13,2844,2918.4,2840,2907,252600,2898.93
2015-10-14,2906.75,2935,2890.75,2906.6,135500,2898.54
2015-10-15,2925,2971.05,2907.1,2946.7,203700,2938.52
2015-10-16,2964,2975,2902,2954.65,162600,2946.45
2015-10-19,2975,2996,2883.25,2898.9,628000,2890.86
2015-10-20,2944.7,2950,2894,2919.1,239000,2911
2015-10-21,2919.9,2942.85,2883,2896.75,191100,2888.71
2015-10-22,2896.75,2896.75,2896.75,2896.75,0,2888.71
2015-10-23,2910.2,2929.75,2888,2901,342600,2892.95
2015-10-26,2904.05,2923.2,2829,2845.1,206700,2837.21
2015-10-27,2839,2915.95,2836.15,2909.65,267700,2901.58
2015-10-28,2902,2909,2869,2891.85,343600,2883.83
2015-10-29,2894.8,2944,2877.6,2914.8,499500,2906.71
2015-10-30,2945,2945.05,2856.05,2886.1,154900,2878.09
2015-11-02,2905.9,2933.65,2860.25,2927.7,245800,2919.58
2015-11-03,2934,2959,2918.9,2925.5,175300,2917.38
2015-11-04,2935.1,2950,2884,2891.8,254100,2883.78
2015-11-05,2891.8,2905.7,2826.1,2834.9,340100,2827.03
2015-11-06,2841.55,3044.9,2775,2793.35,385100,2785.6
2015-11-09,2760,2777,2725,2755.4,226300,2747.76
2015-11-10,2755.15,2770,2699.95,2702.8,316700,2695.3
2015-11-11,2702.8,2702.8,2702.8,2702.8,0,2695.3
2015-11-12,2702.8,2702.8,2702.8,2702.8,0,2695.3
2015-11-13,2704.9,2721.6,2661.2,2680.7,393500,2673.26
2015-11-16,2681,2770,2650,2735.45,214800,2727.86
2015-11-17,2750,2767.7,2711.2,2739.3,300400,2731.7
2015-11-18,2739,2755.45,2714.15,2734.95,157600,2727.36
2015-11-19,2749,2768,2728,2754.2,289400,2746.56
2015-11-20,2754,2794.95,2721.25,2776.45,217500,2768.75
2015-11-23,2787.65,2810,2761.35,2800.1,120700,2792.33
2015-11-24,2801,2841.2,2771.3,2778.45,173800,2770.74
2015-11-25,2778.45,2778.45,2778.45,2778.45,0,2770.74
2015-11-26,2805,2815,2740.3,2803,222400,2795.22
2015-11-27,2815,2847,2803,2830.95,207900,2823.1
2015-11-30,2830.95,2830.95,2776.1,2801.05,322800,2793.28
2015-12-01,2810.1,2876.3,2810.1,2864.15,217400,2856.2
2015-12-02,2866,2883.4,2836.5,2848.6,231600,2840.7
2015-12-03,2840,2895.8,2839,2859.35,277400,2851.42
2015-12-04,2854.1,2890.75,2830.3,2867.1,215700,2859.15
2015-12-07,2872.25,2897,2856.2,2864.65,213700,2856.7
2015-12-08,2864.65,2881.8,2830,2861.1,211400,2853.16
2015-12-09,2861,2861,2781,2783.9,199200,2776.18
2015-12-10,2789,2825.8,2741.15,2813.15,161600,2805.34
2015-12-11,2820,2851.45,2765,2783.4,263000,2775.68
2015-12-14,2778.1,2844,2775,2830.6,175600,2822.75
2015-12-15,2833.55,2879.7,2833.55,2863.3,501500,2855.36
2015-12-16,2885.8,2891.9,2825,2847.8,241500,2839.9
2015-12-17,2877,2905.15,2846.05,2897.85,244600,2889.81
2015-12-18,2894.9,2894.9,2807.05,2815.1,373400,2807.29
2015-12-21,2810,2821.3,2782.75,2805.15,182000,2797.37
2015-12-22,2806,2819,2787.6,2798.8,199700,2791.03
2015-12-23,2805.35,2828.5,2801.2,2818.85,114300,2811.03
2015-12-24,2821.7,2828,2808.05,2813.25,95300,2805.44
2015-12-25,2813.25,2813.25,2813.25,2813.25,0,2805.44
2015-12-28,2824.45,2824.45,2805,2811.7,158600,2803.9
2015-12-29,2816.5,2829.5,2800.6,2818.4,154000,2810.58
2015-12-30,2820,2824,2780,2784.5,155300,2776.77
2015-12-31,2780,2795,2768.25,2780.55,285700,2772.84
2016-01-01,2774,2827.15,2768,2824,85600,2816.16
2016-01-04,2810.1,2828.85,2730,2749.15,461300,2741.52
2016-01-05,2768,2775,2715,2733.05,333300,2725.47
2016-01-06,2733,2750,2721.5,2735.3,448100,2727.71
2016-01-07,2700,2714.05,2651.35,2667.7,498500,2660.3
2016-01-08,2677,2715.5,2636.2,2705.2,202600,2697.69
2016-01-11,2680,2738,2652,2726.8,180800,2719.23
2016-01-12,2731.15,2731.95,2658.3,2670.05,256800,2662.64
2016-01-13,2695,2709.05,2608.8,2684.35,442500,2676.9
2016-01-14,2631,2658.85,2605,2626.8,494400,2619.51
2016-01-15,2634.95,2643.7,2581,2618.2,215800,2610.94
2016-01-18,2639,2650,2579,2641.1,239200,2633.77
2016-01-19,2645,2655,2615.9,2638.7,246400,2631.38
2016-01-20,2610,2695,2580,2617.65,770100,2610.39
2016-01-21,2670,2714,2647.1,2695.05,420600,2687.57
2016-01-22,2680,2740,2680,2713.4,164600,2705.87
2016-01-25,2756.9,2770,2726,2750.45,157500,2742.82
2016-01-26,2750.45,2750.45,2750.45,2750.45,0,2742.82
2016-01-27,2767,2784.9,2740,2751.55,289600,2743.92
2016-01-28,2764.5,2771.95,2718.45,2744.7,477000,2737.08
2016-01-29,2751,2852.3,2737.8,2840.1,325700,2832.22
2016-02-01,2860,2860.55,2802,2819.3,240200,2811.48
2016-02-02,2820,2856,2780.35,2802.7,201100,2794.92
2016-02-03,2755,2806.05,2750.2,2769.05,135500,2761.37
2016-02-04,2775.2,2812.3,2755.25,2769.55,103000,2761.87
2016-02-05,2785,2849.95,2781.25,2842.75,127200,2834.86
2016-02-08,2849.95,2875.6,2803.3,2821.55,109600,2813.72
2016-02-09,2804,2847.45,2755.4,2766.25,239700,2758.58
2016-02-10,2778,2821.6,2758,2797.9,192600,2790.14
2016-02-11,2808,2829,2690.35,2717.9,314200,2710.36
2016-02-12,2734.7,2793,2680,2767.75,704800,2760.07
2016-02-15,2775.9,2864.9,2774.9,2802.35,182800,2794.58
2016-02-16,2830,2838.95,2780.35,2787.6,250700,2779.87
2016-02-17,2805,2805,2740.1,2776.55,110800,2768.85
2016-02-18,2799,2827,2771.15,2795.1,211800,2787.35
2016-02-19,2809,2850,2775,2844.7,225100,2836.81
2016-02-22,2849,2930,2847,2923.1,291600,2914.99
2016-02-23,2929.9,2936.45,2808.75,2816.35,233100,2808.54
